Date,Category,Open,High,Low,Close,Adj Close,Volume
26-12-2012,CYIENT,177.25,181.899994,176.350006,178.800003,138.12648,11944
27-12-2012,CYIENT,179.199997,183,178,179.550003,138.705872,5516
28-12-2012,CYIENT,177,181.949997,175.5,178.649994,138.010574,8345
31-12-2012,CYIENT,180,180,177.550003,179.449997,138.628616,3378
01-01-2013,CYIENT,180.149994,182.949997,180.149994,181.699997,140.366791,1422
02-01-2013,CYIENT,180.149994,183.949997,180.100006,183.050003,141.409668,2995
03-01-2013,CYIENT,183,183.600006,181,182.600006,141.062042,4520
04-01-2013,CYIENT,182,182,177.600006,178.850006,138.165131,8657
07-01-2013,CYIENT,180,181.100006,177.25,178.850006,138.165131,5982
08-01-2013,CYIENT,177.25,181.5,177.25,180.75,139.632904,1730
09-01-2013,CYIENT,182,183,181.050003,182.149994,140.714432,18974
10-01-2013,CYIENT,181.100006,183.199997,181,183,141.371063,19904
11-01-2013,CYIENT,186.649994,186.649994,180.149994,182.75,141.177933,6619
14-01-2013,CYIENT,182.550003,185.949997,182.399994,183.199997,141.525574,18813
15-01-2013,CYIENT,184.949997,184.949997,181.5,183.449997,141.718719,13289
16-01-2013,CYIENT,184.449997,187.5,182.300003,184.199997,142.29808,15784
17-01-2013,CYIENT,186,189,177.449997,178.449997,137.856079,74473
18-01-2013,CYIENT,181.75,183.899994,176,177.050003,136.774582,30558
21-01-2013,CYIENT,180.050003,180.050003,173.25,174.550003,134.843292,29912
22-01-2013,CYIENT,174.550003,176.5,171,175.350006,135.461319,16834
23-01-2013,CYIENT,174,177.75,172.350006,175.600006,135.654434,9257
24-01-2013,CYIENT,174,175.149994,167,172.850006,133.529984,13348
25-01-2013,CYIENT,173.350006,175.5,166.350006,173.050003,133.684494,11081
28-01-2013,CYIENT,172.550003,175,170.149994,173.350006,133.916275,2305
29-01-2013,CYIENT,174.399994,177.600006,171.550003,175.100006,135.268173,6754
30-01-2013,CYIENT,172.5,175.899994,170.149994,172.75,133.452744,8238
31-01-2013,CYIENT,171,175.050003,168.25,172.550003,133.298248,9039
01-02-2013,CYIENT,171.199997,173.649994,168.5,170.850006,131.98494,7141
04-02-2013,CYIENT,170.100006,172.800003,167.050003,169,130.555756,6060
05-02-2013,CYIENT,168,168,161.5,162.75,125.727539,11689
06-02-2013,CYIENT,164,167.5,157.149994,163.449997,126.268295,26660
07-02-2013,CYIENT,161.550003,164.399994,158.800003,161,124.375633,62453
08-02-2013,CYIENT,162.399994,163,160,161.550003,124.800537,13863
11-02-2013,CYIENT,165,165.949997,161.050003,163.050003,125.959312,3358
12-02-2013,CYIENT,164.600006,165.600006,161.699997,164.300003,126.924957,106089
13-02-2013,CYIENT,167.899994,167.899994,163,163,125.920708,105379
14-02-2013,CYIENT,165.800003,165.800003,162.149994,163.149994,126.036537,4320
15-02-2013,CYIENT,165.899994,166.100006,164,165.850006,128.12236,139583
18-02-2013,CYIENT,163.300003,167.850006,163.300003,166,128.23822,9301
19-02-2013,CYIENT,167.550003,167.550003,163,165,127.465721,124894
20-02-2013,CYIENT,167.800003,167.800003,164.300003,167.050003,129.049377,2760
21-02-2013,CYIENT,165.350006,168,165.350006,167.75,129.590179,10257
22-02-2013,CYIENT,166.050003,169.949997,166,167.449997,129.358398,6354
25-02-2013,CYIENT,169.550003,171.050003,167.5,168.949997,130.517151,11677
26-02-2013,CYIENT,171.399994,171.399994,166,168.050003,129.821884,37997
27-02-2013,CYIENT,166.449997,170.100006,166.449997,168.699997,130.324051,32782
28-02-2013,CYIENT,169.300003,170.899994,167.899994,169.699997,131.096588,5426
01-03-2013,CYIENT,167.350006,173.649994,167.350006,170.350006,131.598694,6480
04-03-2013,CYIENT,170,172.850006,166.100006,170.050003,131.366943,103948
05-03-2013,CYIENT,169.050003,170.899994,168.050003,170,131.328308,8015
06-03-2013,CYIENT,169,179,168.550003,171.100006,132.178101,44239
07-03-2013,CYIENT,172.25,174.350006,166.350006,171.649994,132.602997,13834
08-03-2013,CYIENT,172.350006,175.550003,171.050003,173.850006,134.302521,12534
11-03-2013,CYIENT,174,174.800003,170.699997,171.899994,132.796097,6754
12-03-2013,CYIENT,173.649994,173.949997,170.5,171.399994,132.409821,2044
13-03-2013,CYIENT,170.699997,172.5,170,171.75,132.680206,16176
14-03-2013,CYIENT,170.149994,171,170,170.100006,131.405563,4562
15-03-2013,CYIENT,170.199997,172.050003,169,170.449997,131.675919,70794
18-03-2013,CYIENT,168.199997,171.399994,168.199997,170.649994,131.830444,3774
19-03-2013,CYIENT,170.100006,174,169.5,170.25,131.521423,307448
20-03-2013,CYIENT,170.149994,172.25,169.149994,170.649994,131.830444,35026
21-03-2013,CYIENT,170.649994,172.199997,170,170,131.328308,11058
22-03-2013,CYIENT,170.050003,171,170,170.550003,131.753204,4562
25-03-2013,CYIENT,170.199997,174.199997,170,170,131.328308,39769
26-03-2013,CYIENT,170.100006,174,170,173.449997,133.99353,7430
28-03-2013,CYIENT,174,174,167.100006,170.149994,131.444199,3884
01-04-2013,CYIENT,169.100006,171.75,167.5,170.600006,131.791855,3192
02-04-2013,CYIENT,168.149994,171.449997,167.050003,170.550003,131.753204,27648
03-04-2013,CYIENT,170.850006,178.899994,170.050003,174.350006,134.688782,94570
04-04-2013,CYIENT,175,176.649994,170.550003,174,134.418396,9475
05-04-2013,CYIENT,172.350006,174.949997,170.699997,171.399994,132.409821,136312
08-04-2013,CYIENT,170,174.149994,169.050003,170,131.328308,38977
09-04-2013,CYIENT,170.199997,171.800003,170,170.25,131.521423,7300
10-04-2013,CYIENT,170.449997,171.949997,168.399994,170,131.328308,5847
11-04-2013,CYIENT,169.050003,172.600006,169.050003,170,131.328308,57910
12-04-2013,CYIENT,173.949997,173.949997,167.5,170.149994,131.444199,204787
15-04-2013,CYIENT,170.050003,172.399994,168.399994,169.649994,131.057938,6109
16-04-2013,CYIENT,168.25,172,166.5,169.149994,130.671722,8240
17-04-2013,CYIENT,169,171.050003,167.100006,167.199997,129.165237,4220
18-04-2013,CYIENT,168.300003,170,159.100006,166.149994,128.354111,23176
22-04-2013,CYIENT,168.949997,170.449997,166,166.899994,128.933517,2577
23-04-2013,CYIENT,166.600006,173.800003,164,170.300003,131.560059,8523
25-04-2013,CYIENT,167.149994,171.850006,162.100006,163.949997,126.654579,59122
26-04-2013,CYIENT,164,168.800003,158,166.850006,128.894897,78917
29-04-2013,CYIENT,169.600006,172.899994,167.25,171.449997,132.448471,18101
30-04-2013,CYIENT,171,176,169.050003,175,135.190887,13872
02-05-2013,CYIENT,176.5,177.899994,171.350006,176.600006,136.426926,11874
03-05-2013,CYIENT,173.300003,176.449997,171.649994,175.149994,135.306854,14538
06-05-2013,CYIENT,178.949997,178.949997,171.149994,178.050003,137.547043,14341
07-05-2013,CYIENT,178.050003,178.649994,173.5,177.449997,137.083542,9147
08-05-2013,CYIENT,176,179,173.75,175.399994,135.499893,3641
09-05-2013,CYIENT,178.550003,178.550003,174.199997,176,135.96347,4689
10-05-2013,CYIENT,174.949997,174.949997,169,170.899994,132.02359,20979
13-05-2013,CYIENT,171.800003,171.850006,169.199997,170.050003,131.366943,3058
14-05-2013,CYIENT,168.399994,169.949997,167.399994,168,129.783249,1218
15-05-2013,CYIENT,166.550003,169.699997,163.149994,165.300003,127.697479,10479
16-05-2013,CYIENT,163.050003,170.5,162.300003,167.800003,129.628769,164743
17-05-2013,CYIENT,169.050003,172.899994,165.199997,169.75,131.135178,3889
20-05-2013,CYIENT,166.649994,168,166.25,167.399994,129.319763,2605
21-05-2013,CYIENT,165.100006,174,162.550003,169.149994,130.671722,8674
22-05-2013,CYIENT,166,168,164,165.350006,127.736099,3476
23-05-2013,CYIENT,165.699997,167.600006,162.600006,166.75,128.817657,6017
24-05-2013,CYIENT,164.050003,169,164.050003,167.449997,129.358398,1443
27-05-2013,CYIENT,165.25,169.5,165.25,167,129.010742,3511
28-05-2013,CYIENT,164.5,168.699997,164.5,168.600006,130.246826,6645
29-05-2013,CYIENT,168.350006,168.350006,167,167.300003,129.242538,2710
30-05-2013,CYIENT,167,177.5,166,167,129.010742,84876
31-05-2013,CYIENT,167.899994,170.949997,161,168,129.783249,18202
03-06-2013,CYIENT,166,167.800003,165.050003,167.149994,129.126617,2402
