Date,Category,Open,High,Low,Close,Adj Close,Volume
26-12-2012,REDINGTON,43.700001,44.450001,43.5,43.775002,29.137075,70366
27-12-2012,REDINGTON,43.525002,44,43,43.125,28.704432,102198
28-12-2012,REDINGTON,43.424999,44.25,43.125,44.049999,29.320122,542578
31-12-2012,REDINGTON,44,44,43.125,43.325001,28.837549,51706
01-01-2013,REDINGTON,43.825001,44,43.099998,43.400002,28.887472,95058
02-01-2013,REDINGTON,43.5,44,43.299999,43.474998,28.937389,454734
03-01-2013,REDINGTON,43.5,45.700001,43.025002,43.375,28.870831,887530
04-01-2013,REDINGTON,43.474998,43.599998,42.5,43.275002,28.804272,953564
07-01-2013,REDINGTON,43.25,43.575001,42.775002,43.25,28.787628,693480
08-01-2013,REDINGTON,43,43.75,42.450001,42.974998,28.604586,1421044
09-01-2013,REDINGTON,42.75,44,42.625,43.474998,28.937389,205726
10-01-2013,REDINGTON,43.849998,44,43,43.5,28.954029,3497318
11-01-2013,REDINGTON,43.224998,43.650002,42.125,42.450001,28.255142,227064
14-01-2013,REDINGTON,42.125,43.450001,41.575001,43.049999,28.654509,98868
15-01-2013,REDINGTON,43.474998,43.5,42.549999,43,28.621227,713646
16-01-2013,REDINGTON,43.450001,43.450001,42.525002,42.849998,28.521381,92178
17-01-2013,REDINGTON,42.849998,43.224998,41.625,42.174999,28.072094,131166
18-01-2013,REDINGTON,42.450001,42.924999,42.375,42.525002,28.305063,67786
21-01-2013,REDINGTON,43,43.200001,42.599998,42.924999,28.571308,138632
22-01-2013,REDINGTON,43,43.325001,41.75,42.150002,28.055454,78262
23-01-2013,REDINGTON,41.849998,42.950001,41.299999,41.650002,27.722651,67056
24-01-2013,REDINGTON,41.549999,41.799999,40.049999,40.625,27.040407,50110
25-01-2013,REDINGTON,40.5,42.450001,40.125,42,27.955616,458916
28-01-2013,REDINGTON,42,44.5,41.5,43.599998,29.020592,1831990
29-01-2013,REDINGTON,44.099998,44.424999,43.549999,43.924999,29.236914,248362
30-01-2013,REDINGTON,44.450001,44.724998,43.549999,44.424999,29.569714,98654
31-01-2013,REDINGTON,44.5,46,44.125,45.025002,29.969088,1149806
01-02-2013,REDINGTON,44.5,44.974998,43.275002,43.525002,28.970675,500370
04-02-2013,REDINGTON,44.5,45,42.924999,43.375,28.870831,136082
05-02-2013,REDINGTON,43.400002,45.025002,42.150002,42.450001,28.255142,2314988
06-02-2013,REDINGTON,43.400002,44.200001,36.325001,42.974998,28.604586,465908
07-02-2013,REDINGTON,43,43,42.299999,42.400002,28.221861,100108
08-02-2013,REDINGTON,42.400002,43.075001,41.075001,42.224998,28.105379,178442
11-02-2013,REDINGTON,42.5,43.224998,42,42.525002,28.305063,48592
12-02-2013,REDINGTON,42.525002,43.25,42.400002,42.825001,28.504745,281020
13-02-2013,REDINGTON,42.974998,43,41.900002,42.525002,28.305063,48090
14-02-2013,REDINGTON,42.674999,43,41.950001,42.450001,28.255142,3868866
15-02-2013,REDINGTON,42.5,42.875,42.049999,42.5,28.28842,200200
18-02-2013,REDINGTON,42.325001,42.75,42.25,42.474998,28.27178,114718
19-02-2013,REDINGTON,42,42.650002,41.75,42.549999,28.321699,37556
20-02-2013,REDINGTON,42.325001,43.724998,42.325001,43.375,28.870831,40298
21-02-2013,REDINGTON,43,43.599998,42.525002,42.875,28.538031,79244
22-02-2013,REDINGTON,42.5,42.75,42.25,42.5,28.28842,264510
25-02-2013,REDINGTON,42.25,42.674999,42.075001,42.450001,28.255142,44114
26-02-2013,REDINGTON,42,42.875,41.400002,42.450001,28.255142,412396
27-02-2013,REDINGTON,43,50.924999,39.5,41.599998,27.689367,318406
28-02-2013,REDINGTON,42.5,43.099998,42.025002,42.5,28.28842,421138
01-03-2013,REDINGTON,42.150002,42.849998,41.75,42.474998,28.27178,155846
04-03-2013,REDINGTON,41.474998,42.650002,37.625,42.275002,28.13866,36824
05-03-2013,REDINGTON,42.275002,42.974998,42,42.400002,28.221861,1864792
06-03-2013,REDINGTON,42.75,42.974998,41.799999,42.474998,28.27178,98700
07-03-2013,REDINGTON,42.75,42.950001,41.775002,42.474998,28.27178,91604
08-03-2013,REDINGTON,42.5,42.599998,42,42.450001,28.255142,82622
11-03-2013,REDINGTON,42.125,42.625,42.099998,42.349998,28.188576,6280
12-03-2013,REDINGTON,42.25,42.625,42.099998,42.474998,28.27178,20276
13-03-2013,REDINGTON,42,42.5,41.325001,42.099998,28.022175,141846
14-03-2013,REDINGTON,41.525002,42.625,41.525002,42.224998,28.105379,103138
15-03-2013,REDINGTON,41.775002,42.700001,41.025002,42.275002,28.13866,210090
18-03-2013,REDINGTON,41.5,42.25,41.400002,41.950001,27.922338,1021282
19-03-2013,REDINGTON,41.025002,42.5,39.25,41.700001,27.755932,583044
20-03-2013,REDINGTON,41.75,42.650002,40.075001,41.525002,27.63945,234862
21-03-2013,REDINGTON,41.125,42.200001,39,40.125,26.707596,568036
22-03-2013,REDINGTON,40.125,41.25,39,39.674999,26.408075,2619176
25-03-2013,REDINGTON,40.200001,40.75,39.275002,40.599998,27.023764,192194
26-03-2013,REDINGTON,40.25,40.25,39,39.400002,26.225031,22636
28-03-2013,REDINGTON,39.400002,41.5,37.674999,40.450001,26.923923,324642
01-04-2013,REDINGTON,40,41.25,39.775002,40.5,26.957199,23938
02-04-2013,REDINGTON,40.424999,41.224998,40,40.325001,26.840715,41042
03-04-2013,REDINGTON,39.875,41,38.950001,39.25,26.125191,461176
04-04-2013,REDINGTON,39.25,39.400002,35.25,36.75,24.461159,959812
05-04-2013,REDINGTON,36.950001,38,35.799999,37.549999,24.993654,399100
08-04-2013,REDINGTON,36.25,38.474998,36.25,37.5,24.960371,291240
09-04-2013,REDINGTON,37,38.799999,37,37.5,24.960371,2050576
10-04-2013,REDINGTON,38.150002,38.375,36.5,37.224998,24.777327,178318
11-04-2013,REDINGTON,37.799999,37.924999,36.5,37.200001,24.760689,45318
12-04-2013,REDINGTON,36.825001,38,36.549999,37.900002,25.226616,311818
15-04-2013,REDINGTON,37.900002,38.400002,37.099998,37.375,24.877167,125032
16-04-2013,REDINGTON,36.150002,38,36.150002,37.900002,25.226616,1209176
17-04-2013,REDINGTON,38.575001,38.575001,35.549999,36.474998,24.278124,58976
18-04-2013,REDINGTON,36.349998,38.724998,36.349998,38.349998,25.526142,84752
22-04-2013,REDINGTON,38.549999,39.950001,38,39.450001,26.258308,74262
23-04-2013,REDINGTON,39.625,40.825001,37.775002,39.075001,26.008707,49310
25-04-2013,REDINGTON,38.825001,40.450001,38.650002,40.025002,26.641039,38218
26-04-2013,REDINGTON,39.75,41.25,39.275002,40.099998,26.690952,44162
29-04-2013,REDINGTON,40.349998,40.700001,39.5,39.825001,26.507914,10392
30-04-2013,REDINGTON,39.75,40.325001,38.200001,39.474998,26.27495,91354
02-05-2013,REDINGTON,39.974998,41.200001,38.650002,40.474998,26.940561,46556
03-05-2013,REDINGTON,40.474998,41.25,39.150002,40.875,27.2068,58568
06-05-2013,REDINGTON,40.650002,42.099998,40.099998,41.875,27.872417,70032
07-05-2013,REDINGTON,41.5,41.5,40.049999,40.775002,27.140251,174800
08-05-2013,REDINGTON,40.75,40.75,39.575001,40.400002,26.890644,269998
09-05-2013,REDINGTON,40.849998,40.849998,39.349998,40.474998,26.940561,149296
10-05-2013,REDINGTON,40.224998,40.5,39.375,39.5,26.291592,110272
13-05-2013,REDINGTON,39.575001,40,39.349998,39.474998,26.27495,131470
14-05-2013,REDINGTON,40,40,38.525002,38.75,25.792387,37748
15-05-2013,REDINGTON,39.724998,39.875,38.575001,39.075001,26.008707,32004
16-05-2013,REDINGTON,39.5,39.900002,38.525002,38.75,25.792387,43336
17-05-2013,REDINGTON,38.75,41.674999,38.125,40.150002,26.724239,247694
